Entry	Feature	Location	Qualifier	Value
			product	Purine ribonucleoside efflux pump NepI
				
	CDS	complement(128026..128607)	gene	comR_1
			locus_tag	HBIAX_00117
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P75952
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional repressor ComR
				
	CDS	128988..130553	gene	dppA_1
			locus_tag	HBIAX_00118
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P23847
			codon_start	1
			transl_table	11
			product	Periplasmic dipeptide transport protein
				
	CDS	complement(130587..131504)	gene	occR_1
			locus_tag	HBIAX_00119
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A4T3
			codon_start	1
			transl_table	11
			product	Octopine catabolism/uptake operon regulatory protein OccR
				
	CDS	131587..132714	gene	hcnC_1
			locus_tag	HBIAX_00120
			EC_number	1.4.99.5
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:G3XD12
			codon_start	1
			transl_table	11
			product	Hydrogen cyanide synthase subunit HcnC
				
	CDS	132695..132991	locus_tag	HBIAX_00121
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	132988..134385	gene	hcnB_1
			locus_tag	HBIAX_00122
			EC_number	1.4.99.5
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9I1S2
			codon_start	1
			transl_table	11
			product	Hydrogen cyanide synthase subunit HcnB
				
	CDS	134382..135521	gene	soxB
			locus_tag	HBIAX_00123
			EC_number	1.5.3.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9AGP3
			codon_start	1
			transl_table	11
			product	Sarcosine oxidase subunit beta
				
	CDS	135518..136459	gene	gsiC_1
			locus_tag	HBIAX_00124
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P75798
			codon_start	1
			transl_table	11
			product	Glutathione transport system permease protein GsiC
				
	CDS	136456..137328	gene	gsiD_1
			locus_tag	HBIAX_00125
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P75799
			codon_start	1
			transl_table	11
			product	Glutathione transport system permease protein GsiD
				
	CDS	137325..138326	gene	oppD_1
			locus_tag	HBIAX_00126
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P24136
			codon_start	1
			transl_table	11
			product	Oligopeptide transport ATP-binding protein OppD
				
	CDS	138323..139306	gene	oppF_1
			locus_tag	HBIAX_00127
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P24137
			codon_start	1
			transl_table	11
			product	Oligopeptide transport ATP-binding protein OppF
				
	CDS	complement(139352..139735)	locus_tag	HBIAX_00128
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	140104..140910	locus_tag	HBIAX_00129
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(140987..142027)	gene	purR_1
			locus_tag	HBIAX_00130
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0ACP7
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional repressor PurR
				
	CDS	142168..143508	gene	exuT
			locus_tag	HBIAX_00131
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O34456
			codon_start	1
			transl_table	11
			product	Hexuronate transporter
				
	CDS	143505..144893	gene	amiD_1
			locus_tag	HBIAX_00132
			EC_number	3.5.1.4
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P9WQ93
			codon_start	1
			transl_table	11
			product	Putative amidase AmiD
				
	CDS	complement(144902..146293)	locus_tag	HBIAX_00133
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	146477..147175	locus_tag	HBIAX_00134
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AEY1
			note	UPF0056 inner membrane protein MarC
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	147159..148223	locus_tag	HBIAX_00135
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	148220..148423	locus_tag	HBIAX_00136
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(148411..149094)	locus_tag	HBIAX_00137
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	149320..150144	locus_tag	HBIAX_00138
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	tRNA	complement(150312..150387)	locus_tag	HBIAX_00139
			product	tRNA-Ala
			inference	COORDINATES:profile:Aragorn:001002
			note	tRNA-Ala(cgc)
				
	CDS	complement(150458..151240)	gene	xthA
			locus_tag	HBIAX_00140
			EC_number	3.1.11.2
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P09030
			codon_start	1
			transl_table	11
			product	Exodeoxyribonuclease III
				
	CDS	151435..151914	locus_tag	HBIAX_00141
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	151907..152566	locus_tag	HBIAX_00142
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(152593..153369)	gene	ped
			locus_tag	HBIAX_00143
			EC_number	1.1.1.311
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q5P5I4
			codon_start	1
			transl_table	11
			product	(S)-1-Phenylethanol dehydrogenase
				
	CDS	complement(153476..154279)	gene	lldR_1
			locus_tag	HBIAX_00144
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0ACL7
			codon_start	1
			transl_table	11
			product	Putative L-lactate dehydrogenase operon regulatory protein
				
	CDS	154609..156042	gene	puuC_1
			locus_tag	HBIAX_00145
			EC_number	1.2.1.5
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P23883
			codon_start	1
			transl_table	11
			product	NADP/NAD-dependent aldehyde dehydrogenase PuuC
				
	CDS	156153..156857	gene	ribC
			locus_tag	HBIAX_00146
			EC_number	2.5.1.9
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AFU8
			codon_start	1
			transl_table	11
			product	Riboflavin synthase
				
	CDS	complement(156944..158437)	locus_tag	HBIAX_00147
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(158456..159757)	gene	ttuB
			locus_tag	HBIAX_00148
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q44470
			codon_start	1
			transl_table	11
			product	Putative tartrate transporter
				
	CDS	160011..160925	gene	cmpR_1
			locus_tag	HBIAX_00149
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q55459
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional activator CmpR
				
	CDS	161141..161725	gene	speG
			locus_tag	HBIAX_00150
			EC_number	2.3.1.57
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A951
			codon_start	1
			transl_table	11
			product	Spermidine N(1)-acetyltransferase
				
	CDS	complement(161812..163968)	gene	cadA_1
			locus_tag	HBIAX_00151
			EC_number	3.6.3.3
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P20021
			codon_start	1
			transl_table	11
			product	Cadmium-transporting ATPase
				
	CDS	164017..164235	locus_tag	HBIAX_00152
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	164339..164773	gene	merR1
			locus_tag	HBIAX_00153
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P22853
			codon_start	1
			transl_table	11
			product	Mercuric resistance operon regulatory protein
				
	CDS	165103..166185	locus_tag	HBIAX_00154
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	166363..166956	gene	ydjA
			locus_tag	HBIAX_00155
			EC_number	1.-.-.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0ACY1
			codon_start	1
			transl_table	11
			product	Putative NAD(P)H nitroreductase YdjA
				
	CDS	complement(167024..167326)	locus_tag	HBIAX_00156
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	167518..168030	gene	fecI_2
			locus_tag	HBIAX_00157
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P23484
			codon_start	1
			transl_table	11
			product	putative RNA polymerase sigma factor FecI
				
	CDS	168027..168998	gene	fecR_2
			locus_tag	HBIAX_00158
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P23485
			codon_start	1
			transl_table	11
			product	Protein FecR
				
	CDS	169060..171462	gene	fhuA_1
			locus_tag	HBIAX_00159
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P06971
			codon_start	1
			transl_table	11
			product	Ferrichrome outer membrane transporter/phage receptor
				
	CDS	171703..172935	gene	bkdA1
			locus_tag	HBIAX_00160
			EC_number	1.2.4.4
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P09060
			codon_start	1
			transl_table	11
			product	2-oxoisovalerate dehydrogenase subunit alpha
				
	CDS	172939..173982	gene	bkdA2
			locus_tag	HBIAX_00161
			EC_number	1.2.4.4
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P09061
			codon_start	1
			transl_table	11
			product	2-oxoisovalerate dehydrogenase subunit beta
				
	CDS	173984..175342	gene	bkdB
			locus_tag	HBIAX_00162
			EC_number	2.3.1.168
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9I1M0
			codon_start	1
			transl_table	11
			product	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
				
	CDS	175345..176748	gene	lpdV
			locus_tag	HBIAX_00163
			EC_number	1.8.1.4
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9I1L9
			codon_start	1
			transl_table	11
			product	Dihydrolipoyl dehydrogenase
				
	CDS	complement(176922..178994)	locus_tag	HBIAX_00164
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(179137..180558)	gene	argH_1
			locus_tag	HBIAX_00165
			EC_number	4.3.2.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9LAE5
			codon_start	1
			transl_table	11
			product	Argininosuccinate lyase
				
	CDS	180761..182098	gene	ybdG
			locus_tag	HBIAX_00166
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AAT4
			codon_start	1
			transl_table	11
			product	Miniconductance mechanosensitive channel YbdG
				
	CDS	182152..184257	gene	nadE
			locus_tag	HBIAX_00167
			EC_number	6.3.5.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P9WJJ3
			codon_start	1
			transl_table	11
			product	Glutamine-dependent NAD(+) synthetase
				
	CDS	184395..184733	gene	glnB
			locus_tag	HBIAX_00168
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A9Z1
			codon_start	1
			transl_table	11
			product	Nitrogen regulatory protein P-II 1
				
	CDS	complement(184820..185683)	locus_tag	HBIAX_00169
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(185718..186077)	locus_tag	HBIAX_00170
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(186019..186231)	locus_tag	HBIAX_00171
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(186314..187519)	gene	epsF_1
			locus_tag	HBIAX_00172
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P45780
			codon_start	1
			transl_table	11
			product	Type II secretion system protein F
				
	CDS	187693..190305	gene	sctC_1
			locus_tag	HBIAX_00173
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_02219
			codon_start	1
			transl_table	11
			product	Type 3 secretion system secretin
				
	CDS	190302..191729	gene	hxcR_1
			locus_tag	HBIAX_00174
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9I5N9
			codon_start	1
			transl_table	11
			product	putative type II secretion system protein HxcR
				
	CDS	complement(191792..192316)	locus_tag	HBIAX_00175
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(192316..194472)	gene	btuB_1
			locus_tag	HBIAX_00176
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01531
			codon_start	1
			transl_table	11
			product	Vitamin B12 transporter BtuB
				
	CDS	complement(194922..195677)	locus_tag	HBIAX_00177
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(195677..196264)	locus_tag	HBIAX_00178
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(196261..197253)	locus_tag	HBIAX_00179
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(197250..198194)	gene	xcpX_1
			locus_tag	HBIAX_00180
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q00518
			codon_start	1
			transl_table	11
			product	Type II secretion system protein K
				
	CDS	complement(198191..198805)	gene	xcpW
			locus_tag	HBIAX_00181
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q00517
			codon_start	1
			transl_table	11
			product	Type II secretion system protein J
				
	CDS	complement(198802..199206)	locus_tag	HBIAX_00182
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(199193..199681)	locus_tag	HBIAX_00183
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(199653..200081)	gene	xcpT_1
			locus_tag	HBIAX_00184
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q00514
			codon_start	1
			transl_table	11
			product	Type II secretion system protein G
				
	CDS	complement(200157..200603)	locus_tag	HBIAX_00185
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	200853..202847	locus_tag	HBIAX_00186
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	202868..203047	locus_tag	HBIAX_00187
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	203084..205264	gene	plcN_1
			locus_tag	HBIAX_00188
			EC_number	3.1.4.3
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9RGS8
			codon_start	1
			transl_table	11
			product	Non-hemolytic phospholipase C
